編號,年度,年級,課次,生字,生字注音,部首,部首注音,總筆畫,部首外筆畫,字義教學,造詞教學-造詞,造詞教學1,造詞教學2,成語教學,字形辨別,字音辨別,教學圖卡
13,103,4,第一課 藍色的海洋大軍  ,鋒,鋒,金,金,15,7,"1.兵器銳利的部分。如：刀鋒、劍鋒
2.泛指器物尖端的部分。如：筆鋒、針鋒
3.銳利的。如：鋒刃、鋒利
4.隊伍的前列或在前領導的人。如：先鋒、前鋒
5.氣象學上指密度、溫度、溼度等性質不同的兩氣團，相遇所形成的交界面或交替帶。如：冷鋒、暖鋒
",衝鋒,"解釋
突入敵陣衝殺。
例句
英勇的戰士在戰場上衝鋒陷陣，把敵人殺得片甲不留。","1.先鋒
解釋
戰時率先和敵人交戰的人員或部隊。
2.冷鋒
解釋
勢力強大的冷氣團插入暖氣團的底部所形成的鋒面。","鋒芒畢露
解釋
銳氣和才華全都顯露出來。比喻人好表現自己，不夠沉穩。
造句
他說話做事總是那樣鋒芒畢露，從不懂得謙虛。","鋒（金，取部首造字）：先鋒、話鋒
峰（山）：頂峰、峰巒
蜂（虫）：蜂窩、蜂擁
烽（火，取部首造字）：烽火、烽煙",不製作,不製作
14,103,4,第一課 藍色的海洋大軍  ,翼,翼,羽,羽,17,11,"1.翅膀。如：蟬翼、鳥翼
2.側、旁邊。如：左翼、右翼
3.輔助、庇護。如：卵翼、覆翼",左翼,"解釋
軍隊前進時靠左邊的部隊。
例句
左翼部隊服從主帥的命令，提前拔營出發。","1.羽翼
解釋
禽鳥的翅膀。
2.小心翼翼
解釋
形容非常謹慎，不敢疏忽。","不翼而飛
解釋
比喻物品無故遺失。
造句
擺在飯桌上的錢，突然不翼而飛。",不製作,不製作,不製作
15,103,4,第一課 藍色的海洋大軍  ,奪,奪,大,大,14,11,"1.強取、使失去。如：搶奪、剝奪、褫奪
2.爭取。如：爭奪、奪標
3.決定。如：定奪、裁奪
4.衝過。如：奪門而出、淚水奪眶而出
5.耀眼、眩目。如：光彩奪目",奪,"解釋
爭取。
例句
人類不應奪取自然界生物的生存空間，應努力使生態保持平衡。","1.奪命
解釋
奪取性命。
2.定奪
解釋
決定事情的去取。","強詞奪理
解釋
本來無理，卻硬說成有理。
造句
你先動手打了人，卻還強詞奪理要人道歉，真沒天良！",不製作,不製作,不製作
16,103,4, 第二課  水中奇景  ,潛,潛,水,水,15,12,"1.在水面下行動。如：潛水、鳥飛魚潛
2.深入、隱祕。如：潛藏、潛伏、潛逃
3.使深入。如：潛心",浮潛,"解釋
不攜帶氧氣筒的潛水。通常只在淺海附近，要換氣時，得浮出水面才可。
例句
浮潛時，美麗的海底世界盡收眼底。","1.潛逃
解釋
祕密逃走。
2.潛力
解釋
尚未發揮的潛在能力。","潛移默化
解釋
人的思想、性格或習慣受到影響，不知不覺中起了變化。
造句
教師的言行舉止，隨時隨地都在潛移默化的影響著學生。",不製作,不製作,是
17,103,4, 第二課  水中奇景  ,螃,螃,虫,悔,16,10,"動物名。節肢動物門甲殼綱。全身滿布甲殼，足五對，最前一對呈鉗狀，橫行，眼有柄。種類繁多，可分為淡水生的河蟹以及海水生的海蟹二大類。如：螃蟹
",螃蟹,"解釋
動物名。節肢動物門甲殼綱。全身滿布甲殼，足五對，最前一對呈鉗狀，橫行，眼有柄。種類繁多，可分為淡水生的河蟹以及海水生的海蟹二大類。
例句
一隻可愛的小螃蟹，從洞穴裡探頭探腦的爬出來。","螃蟹
解釋
動物名。節肢動物門甲殼綱。全身滿布甲殼，足五對，最前一對呈鉗狀，橫行，眼有柄。種類繁多，可分為淡水生的河蟹以及海水生的海蟹二大類。",不製作,不製作,不製作,是
18,103,4, 第二課  水中奇景  ,蟹,蟹,虫,悔,19,13,動物名。節肢動物門甲殼綱。全身披有甲殼，頭胸多扁平而廣闊。有五對足，第一對變形為螯，用來捕捉食物或攻擊敵人，其餘四對末節有爪，橫行甚速。腹部分數節屈折於胸部之下，俗稱為「臍」，雄的臍尖，雌的臍圓。鹹、淡水皆產，種類甚多。如：螃蟹,螃蟹,"解釋
動物名。節肢動物門甲殼綱。全身滿布甲殼，足五對，最前一對呈鉗狀，橫行，眼有柄。種類繁多，可分為淡水生的河蟹以及海水生的海蟹二大類。
例句
一隻可愛的小螃蟹，從洞穴裡探頭探腦的爬出來。","1.蟹黃
解釋
螃蟹體內的卵巢和消化腺。色黃，可食，味道鮮美。
2.寄居蟹
解釋
動物名。節肢動物門甲殼綱寄居蟹科。廣布於全世界。寄居在空螺殼內，頭、胸部堅硬，腹部柔軟，有兩對觸角，第二對特長；足四對，第四對在腹部末端，可用以鉤住空殼。在熱帶島嶼中，有些寄居蟹則居住在椰殼中。",不製作,不製作,不製作,是
19,103,4, 第二課  水中奇景  ,膽,膽,肉,肉,17,13,"1.內臟器官之一。近肝臟右半葉，所存膽汁，黃綠色，味苦，有助人體消化的功能。如：膽囊。
2.勇氣，古人以為勇氣由膽發出。如：膽小、壯膽。",海膽,"解釋
動物名。無脊椎動物棘皮動物門。雌雄異體，體呈球形，紫黑色，殼面硬棘叢生。
例句
如果世界上的海膽都消失的話，會破壞現在的生態平衡。","1.膽小
解釋
缺乏勇氣。
2.膽量
解釋
勇氣。","膽大心細
解釋
做事勇敢果斷而思慮周密。
造句
老師叮嚀我們，做實驗要「膽大心細」，才能得到正確的答案。","膽（肉）：膽量、膽怯
擔（?）：擔保、擔柴
瞻（目）：瞻望、瞻仰",不製作,是
20,103,4, 第二課  水中奇景  ,刺,刺,刀,刀,8,6,"1.以尖銳的東西扎入。如：穿刺、刺繡
2.細而尖銳如針的東西。如：芒刺、魚刺
3.以尖酸刻薄的言語指出或嘲笑別人的過失。如：諷刺、譏刺
4.因外物刺激使產生不好的感覺。如：刺眼、刺耳、刺鼻
5.暗殺。如：行刺
6.暗中打聽。如：刺探",刺,"解釋
細而尖銳如針的東西。
例句
玫瑰花雖然美麗，但要小心它莖上的刺。","1.毒刺
解釋
昆蟲中如蜜蜂、蠍子等尾端能注射毒液的針刺。
2.刺眼
解釋
光線或顏色強烈，使眼睛覺得不舒服。","懸梁刺股
解釋
懸梁，將頭髮用繩子綁在屋梁上防止打瞌睡。刺股，用錐子刺腿保持清醒。懸梁刺股比喻發憤學習。
造句
他年輕時效法古人懸梁刺股的精神刻苦讀書，才有今天的成就。",不製作,不製作,不製作
21,103,4, 第二課  水中奇景  ,敵,敵,?,撲,15,11,"1.與己方相對，有利害衝突而互不相容的一方。如：仇敵、大敵當前、敵我不分
2.抵擋、抵抗。如：寡不敵眾
3.相等、相當。如：匹敵、勢均力敵",敵人,"解釋
仇敵，與己方有仇恨而相對抗的人。
例句
敵人已慢慢接近，不要輕舉妄動。","1.天敵
解釋
自然界中某種動物專門捕食或危害另一種動物，前者即為後者的天敵。如：青蛙是昆蟲的天敵、貓是老鼠的天敵、鳥類是蝗蟲的天敵等。
2.無敵
解釋
沒有可相對抗、比擬的。","一夫當關，萬夫莫敵
解釋
形容勇猛過人。
造句
關羽能過五關斬六將，真是一夫當關，萬夫莫敵！","敵（需造字，右偏旁）：敵軍、無敵
滴（?，需造字）：雨滴、點滴
摘（?，需造字）：摘取、摘要",不製作,不製作
22,103,4, 第二課  水中奇景  ,立,立,立,立,5,0,"1.直身站著。如：站立、立正
2.豎起。如：豎立、立竿見影
3.設置。如：公立、設立
4.制定、訂定。如：立法、立案、立約
5.建樹、成就。如：立威、成家立業
6.存在。如：獨立、誓不兩立
7.馬上、即刻。如：立刻、立即",立刻,"解釋
即時、馬上。
例句
上課鐘聲一響，大家立刻回教室。","1.並立
解釋
並排而立。
2.立法
解釋
制定法律。","坐立不安
解釋
形容焦急、煩躁，心神不寧的樣子。
造句
聽說家裡發生事故，他急得不知如何是好，坐立不安。",不製作,不製作,不製作
23,103,4, 第二課  水中奇景  ,珊,珊,玉,玉,9,5,腔腸動物珊瑚蟲綱的泛稱。生活在暖海中。許多珊瑚蟲集結營生，分泌具有石灰質的黏液，硬化後所形成的骨架亦稱為「珊瑚」。形狀分歧如樹枝。色彩鮮豔美觀，有白色、紅色、桃紅色、黑色等。如：珊瑚,珊瑚,"解釋
腔腸動物珊瑚蟲綱的泛稱。生活在暖海中。許多珊瑚蟲集結營生，分泌具有石灰質的黏液，硬化後所形成的骨架亦稱為「珊瑚」。形狀分歧如樹枝。色彩鮮豔美觀，有白色、紅色、桃紅色、黑色等。
例句
這一片珊瑚色彩繽紛，十分壯觀！","1.珊瑚礁
解釋
由造礁珊瑚和石灰質生物遺骸經長期堆積所構成的礁石。
2.珊瑚蟲
解釋
動物名。腔腸動物。為一種構造簡單的膠質小動物。生活於暖海中。體圓筒狀，上有口直通腔腸，觸手若干生於口周。",不製作,不製作,不製作,是
24,103,4, 第二課  水中奇景  ,瑚,瑚,玉,玉,13,9,腔腸動物珊瑚蟲綱的泛稱。生活在暖海中。許多珊瑚蟲集結營生，分泌具有石灰質的黏液，硬化後所形成的骨架亦稱為「珊瑚」。形狀分歧如樹枝。色彩鮮豔美觀，有白色、紅色、桃紅色、黑色等。如：珊瑚,珊瑚,"解釋
腔腸動物珊瑚蟲綱的泛稱。生活在暖海中。許多珊瑚蟲集結營生，分泌具有石灰質的黏液，硬化後所形成的骨架亦稱為「珊瑚」。形狀分歧如樹枝。色彩鮮豔美觀，有白色、紅色、桃紅色、黑色等。
例句
這一片珊瑚色彩繽紛，十分壯觀！",不製作,不製作,"瑚（王）：珊瑚礁
湖（?）：江湖、湖畔
蝴（虫）：蝴蝶蘭
糊（米）：模糊、糊塗",不製作,是
25,103,4, 第二課  水中奇景  ,丑,丑,一,一,4,3,"1.一種戲劇角色。扮演滑稽可笑的喜劇人物。如：小丑、文丑、武丑
2.地支的第二位。如：乙丑
3.時辰名。約當凌晨一點到三點。如：丑時",小丑魚,"解釋
動物名。硬骨魚綱。一種生活在淺海珊瑚礁附近的熱帶魚。色澤鮮豔，以水中浮游生物為食。
例句
電影「海底總動員」裡的小丑魚，活潑可愛，真是討人喜愛！","1.女丑
解釋
戲劇中的女性丑角。
2.丑角
解釋
戲劇中表演滑稽逗趣的角色。",不製作,不製作,不製作,是
26,103,4, 第二課  水中奇景  ,葵,葵,艸,艸,13,9,植物名。菊科向日葵屬，一年生草本。葉卵形，夏日開黃色大花，頭狀花序，花常朝向太陽，子可食，並可榨油。如：向日葵,海葵,"解釋
動物名。腔腸動物門。體軟，呈圓柱形，頂端叢生觸手，內含毒刺，可用來捕食生物。多生活於溫帶海域。
例句
色彩鮮豔的海葵像是一朵盛開的花兒。","1.向日葵
解釋
植物名。菊科向日葵屬，一年生草本。葉卵形，夏日開黃色大花，頭狀花序，花常朝向太陽，子可食，並可榨油。
2.葵花
解釋
向日葵。",不製作,"葵（?）：向日葵
睽（目）：眾目睽睽
揆（?）：閣揆",不製作,是
27,103,4, 第二課  水中奇景  ,筒,筒,竹,竹,12,6,"1.竹管。如：竹筒
2.中空的管狀器物。如：筆筒、火箭筒
3.量詞。計算筒裝物的單位。如：一筒竹筷",萬花筒,"解釋
一種光學玩具。通常用三塊狹長的鏡子，砌成正三角柱體，外面圍硬紙筒，中間放些彩色碎紙，一頭用毛玻璃封好，一頭開孔。把筒轉動，從這孔向裡看去，顏色跟形態變化無窮。
例句
這個世界千變萬化，就像萬花筒。","1.針筒
解釋
西醫注射器裝藥液的部分。
2.郵筒
解釋
郵局設立供人投寄郵件的筒子。",不製作,不製作,不製作,不製作
28,103,4, 第二課  水中奇景  ,怨,怨,心,心,9,5,"1.責備、怪罪。如：怨天尤人、任勞任怨
2.仇恨。如：結怨、以德報怨、恩怨分明
3.不滿的、哀愁的。如：怨言、怨婦、怨聲載道",埋怨,"解釋
抱怨、責怪。
例句
她埋怨坐公車就像在擠沙丁魚。","1.哀怨
解釋
哀傷怨恨。
2.怨言
解釋
表示忿恨或埋怨的話。","怨天尤人
解釋
埋怨上天，怪罪他人。
造句
這次實驗的失敗是因為我的疏忽，你們不要怨天尤人。",不製作,不製作,不製作
29,103,4, 第二課  水中奇景  ,湧,湧,水,水,12,9,"1.水從下向上冒出。如：泉湧、波濤洶湧
2.上升、上騰。如：風起雲湧",湧,"解釋
水從下向上冒出。
例句
海浪拍打岩石，湧起一陣雪白的浪花，真是好看！","1.湧入
解釋
水或物體大量進入。
2.泉湧
解釋
形容事物或靈感如泉水般湧出，源源不絕。","淚如泉湧
解釋
眼淚像泉水般湧流而出。形容非常傷心。
造句
一說到傷心處，她禁不住淚如泉湧。","湧（?）： 泉湧、湧現
踴（需造字，取左偏旁）： 踴躍",不製作,不製作
30,103,4, 第二課  水中奇景  ,捨,捨,手,手,11,8,"1.放棄、拋下。如：割捨、捨棄、捨近求遠
2.布施、給予。如：施捨、捨財
3.除開、除去。如：捨我其誰",依依不捨,"解釋
非常留戀、捨不得。
例句
畢業典禮上，同學們依依不捨的互道珍重再見。","1.捨棄
解釋
放棄、拋開。
2.施捨
解釋
將財物送人，布施恩德。","捨本逐末
解釋
指不求事物的根本大端，只重視微末小節。
造句
如果我們不充實內容，只在包裝上下功夫，就顯得捨本逐末了。",不製作,不製作,不製作
31,103,4,第三課  大海的旋律  ,暴,暴,日,日,15,11,"1.急驟、猛烈。如：暴風、暴雨、暴飲暴食
2.殘酷凶惡。如：殘暴、暴虐、暴行
3.鼓起、突出。如：他氣得頭上的青筋都暴出來了。
4.毀壞、蹧蹋。如：暴殄天物、自暴自棄",狂暴,"解釋
狂野粗暴。
例句
被人類傷害過的大鯊魚，性情變得愈來愈狂暴。","1.暴力
解釋
激烈而強制的力量。
2.暴風
解釋
急驟強勁的風。","暴虎馮河
解釋
暴，空手搏鬥。馮，徒步渡河。暴虎馮河指空手與虎搏鬥，不靠舟船徒步過河。後比喻人有勇而無謀，冒險蠻幹。
造句
憑一時的衝動做事，無異是暴虎馮河！","暴：暴行、暴風
爆（火）：爆發、爆炸
瀑（?）：瀑布、飛瀑
曝（日）：曝晒、曝光
","暴：暴雨
暴：暴露",不製作
32,103,4,第三課  大海的旋律  ,亢,亢,?,頭,4,2,"1.高的。如：高亢
2.高傲、強硬。如：亢直、不卑不亢
3.過甚。如：亢旱、亢奮、亢進",高亢,"解釋
態度高傲亢直或聲調、情緒高昂激動。
例句
聽我們高亢的歌聲響徹雲霄。","1.亢奮
解釋
極度興奮。
2.亢直
解釋
直道而行，不為權勢所屈。","不卑不亢
解釋
待人處事態度得體，不傲慢、不卑屈。
造句
他雖出身低微，但處事不卑不亢，令人讚許。","亢：高亢、亢進
坑（土）：沙坑、坑洞
抗（?）：反抗、抗議",不製作,不製作
33,103,4,第三課  大海的旋律  ,男,男,田,田,7,2,"1.男性、男人。與「女」相對。如：男孩子、男女合班
2.兒子。如：長男",男孩,"解釋
多指年輕未婚男子而言。
例句
男孩們成群的圍著火堆唱歌。","1.男校
解釋
專收男學生的學校。
2.男士
解釋
對男子的敬稱。",不製作,不製作,不製作,是
34,103,4,第三課  大海的旋律  ,玫,玫,玉,玉,8,4,植物名。薔薇科薔薇屬，直立灌木。葉呈橢圓形或倒卵形，邊緣呈鋸齒狀，枝密生有剛毛及刺，花有紅、黃、白等色，果實呈扁球形。可供觀賞、製造香水等。 如：玫瑰,玫瑰,"解釋
植物名。薔薇科薔薇屬，直立灌木。葉呈橢圓形或倒卵形，邊緣呈鋸齒狀，枝密生有剛毛及刺，花有紅、黃、白等色，果實呈扁球形。可供觀賞、製造香水等。
例句
牆上糊著玫瑰圖案的壁紙，看起來很浪漫！","玫瑰花
解釋
玫瑰所開的花。有單瓣與重瓣之分，花色因品種不同而有紅、粉紅、黃、白等多種顏色。
",不製作,不製作,不製作,不製作
35,103,4,第三課  大海的旋律  ,瑰,瑰,玉,玉,14,10,"1.質地僅次於玉的美石。如：瓊瑰
2.奇偉的、珍奇的。如：瑰麗、瑰寶",玫瑰,"解釋
植物名。薔薇科薔薇屬，直立灌木。葉呈橢圓形或倒卵形，邊緣呈鋸齒狀，枝密生有剛毛及刺，花有紅、黃、白等色，果實呈扁球形。可供觀賞、製造香水等。
例句
牆上糊著玫瑰圖案的壁紙，看起來很浪漫！","1.瑰麗
解釋
珍奇美好。
2.瑰寶
解釋
稀有珍貴的寶物。",不製作,"瑰（王）：瑰麗、瑰寶
塊（土）：石塊、冰塊
魂（云）：魂魄、靈魂
魄（白）：魄力、體魄",不製作,不製作
36,103,4,第三課  大海的旋律  ,薔,薔,艸,艸,17,13,植物名。薔薇科薔薇屬，常綠或落葉灌木。枝幹多刺，葉為奇數羽狀複葉，邊緣有鋸齒。花朵為兩性花，有紅、白、黃等色，富有香氣。可作觀賞用，亦可加工製作薔薇油和薔薇露。如：薔薇,薔薇,"解釋
植物名。薔薇科薔薇屬，常綠或落葉灌木。枝幹多刺，葉為奇數羽狀複葉，邊緣有鋸齒。花朵為兩性花，有紅、白、黃等色，富有香氣。可作觀賞用，亦可加工製作薔薇油和薔薇露。
例句
他正在細數著這朵薔薇的花瓣。",不製作,不製作,不製作,不製作,不製作
37,103,4,第三課  大海的旋律  ,薇,薇,艸,艸,17,13,植物名。薇科薇屬，多年生草本。高約一公尺，葉由地下根莖叢生，幼嫩時可供食用，葉上生孢子囊，多生於山野向陽草地。如：薔薇,薔薇,"解釋
植物名。薔薇科薔薇屬，常綠或落葉灌木。枝幹多刺，葉為奇數羽狀複葉，邊緣有鋸齒。花朵為兩性花，有紅、白、黃等色，富有香氣。可作觀賞用，亦可加工製作薔薇油和薔薇露。
例句
他正在細數著這朵薔薇的花瓣。",不製作,不製作,不製作,不製作,不製作
38,103,4,第三課  大海的旋律  ,柔,柔,木,木,9,5,"1.軟。如：柔軟、柔嫩
2.溫和而不強烈的。與「剛」相對。如：柔和、柔順、溫柔
3.安撫，使人順從。如：以德柔人",柔,"解釋
軟。
例句
他獨自在雨中漫步，幻想自己在柔柔細雨中輕歌曼舞。","1.輕柔
解釋
輕細柔和。
2.柔弱
解釋
軟弱、不剛強。","優柔寡斷
解釋
行事猶豫不決，不能當機立斷。
造句
他生性膽小懦弱，遇事優柔寡斷，實不足以擔當大任。",不製作,不製作,不製作
39,103,4,第三課  大海的旋律  ,漩,漩,水,水,14,11,旋轉的水流。如：漩渦,漩渦,"解釋
1.水流迴旋轉動的低凹處。
2.比喻糾紛麻煩。
例句
1.夏天到溪流游泳，要特別小心避開漩渦。
2.做事要謹言慎行，別掉入漩渦中無法自拔。",不製作,不製作,不製作,不製作,不製作
40,103,4,第三課  大海的旋律  ,渦,渦,水,水,12,9,"1.旋轉流動成圓形而中間凹陷的水流。如：漩渦
2.像渦樣的凹處。如：酒渦",漩渦,"解釋
1.水流迴旋轉動的低凹處。
2.比喻糾紛麻煩。
例句
1.夏天到溪流游泳，要特別小心避開漩渦。
2.做事要謹言慎行，別掉入漩渦中無法自拔。","渦輪
解釋
藉流體通過的衝擊力或反作用力而旋轉的機械裝置或發動機。",不製作,"渦（?）：漩渦、渦輪
鍋（金）：飯鍋、鍋蓋
窩（需造字，取上半部）：被窩、蜂窩",不製作,不製作
41,103,4,第三課  大海的旋律  ,仰,仰,人,人,6,4,"1.抬頭，臉向上看。與「俯」相對。如：仰首、仰望、仰天長嘯
2.敬慕。如：景仰、敬仰、仰慕
3.依賴。如：仰賴、仰仗、仰人鼻息",仰游,"解釋
游泳姿勢之一。因身體仰臥水面，所以稱為仰泳。
例句
這位年輕的游泳選手，刷新了仰泳的世界紀錄。","1.久仰
解釋
仰慕已久。初次見面時的客套話。
2.仰慕
解釋
敬佩愛慕。","仰人鼻息
解釋
比喻依靠他人生活或看別人的臉色行事，不能自主。
造句
他現在在公司的職位低，處處仰人鼻息，但是他有信心將來一定能成就大事業。",不製作,不製作,是
